epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,4417.12,0.37485,0.89308,0.00328,0.93717,0.93651,0.94027,0.89896,0.2943,1.09141,0.00365,0.00026422,0.00026422,0.00026422
87,4479.19,0.38545,0.91433,0.00316,0.93544,0.93651,0.94027,0.89912,0.30491,1.08722,0.0038,0.000247716,0.000247716,0.000247716
88,4527.56,0.39599,0.96545,0.00363,0.93803,0.93574,0.94527,0.90511,0.31693,1.07506,0.004,0.000231213,0.000231213,0.000231213
89,4577.6,0.33331,0.84745,0.00286,0.93774,0.93385,0.94527,0.90513,0.32865,1.06812,0.00421,0.00021471,0.00021471,0.00021471
90,4627.74,0.35478,0.92123,0.00319,0.93868,0.93405,0.94777,0.90858,0.33488,1.05727,0.00431,0.000198206,0.000198206,0.000198206
91,4676.22,0.28364,1.52252,0.00287,0.94245,0.93651,0.94777,0.91047,0.33986,1.03738,0.00435,0.000181703,0.000181703,0.000181703
92,4721.38,0.28873,1.55318,0.003,0.94432,0.93651,0.94777,0.90694,0.34069,1.02371,0.00428,0.0001652,0.0001652,0.0001652
93,4768.12,0.27913,1.47231,0.00329,0.94615,0.93651,0.94527,0.89959,0.34572,1.01871,0.00427,0.000148696,0.000148696,0.000148696
94,4812.84,0.28919,1.49422,0.00345,0.94745,0.93651,0.94527,0.89368,0.35106,1.01721,0.00426,0.000132193,0.000132193,0.000132193
95,4857.96,0.27772,1.50145,0.00314,0.95011,0.93651,0.94027,0.89147,0.35482,1.01895,0.0043,0.00011569,0.00011569,0.00011569
96,4904.85,0.28388,1.48923,0.0031,0.95132,0.93651,0.94027,0.89131,0.35104,1.02205,0.00427,9.91865e-05,9.91865e-05,9.91865e-05
97,4951.59,0.28777,1.47257,0.00319,0.95135,0.93651,0.93527,0.88616,0.33979,1.02313,0.00414,8.26832e-05,8.26832e-05,8.26832e-05
98,4997.12,0.29399,1.50958,0.00335,0.9507,0.93651,0.93527,0.89091,0.32759,1.01994,0.004,6.61799e-05,6.61799e-05,6.61799e-05
99,5043.23,0.28466,1.4535,0.00313,0.95051,0.93651,0.93527,0.8909,0.31616,1.01529,0.00386,4.96766e-05,4.96766e-05,4.96766e-05
100,5091.29,0.2801,1.49749,0.00323,0.95054,0.93651,0.93347,0.899,0.30783,1.01186,0.00377,3.31733e-05,3.31733e-05,3.31733e-05
